Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена
No Second Chance : A Suspense Thriller,"When his child is taken, a father will stop at nothing to get her back in this explosive, white-knuckle thriller from the bestselling author and creator of the hit Netflix drama The Stranger. When the first bullet hit my chest, I thought of my daughter... Shot twice by an unseen assailant, Dr. Marc Seidman lies in a hospital bed. His wife has been killed. His six-month-old daughter has vanished. But just when his world seems forever shattered, the ransom note arrives: We are watching. If you contact the authorities, you will never see your daughter again. There will be no second chance. With no one to trust, and mired in a deepening quicksand of deception and deadly secrets, Marc clings to one unwavering vow: bring home his daughter, at any cost.","Crime & Thriller , Thriller","Coben, Harlan",Penguin Putnam Inc,2011,372,1.099 Денари
Child 44,"Description In a country ruled by fear, no one is innocent. Stalin's Soviet Union is an official paradise, where citizens live free from crime and fear only one thing: the all-powerful state. Defending this system is idealistic security officer Leo Demidov, a war hero who believes in the iron fist of the law. But when a murderer starts to kill at will and Leo dares to investigate, the State's obedient servant finds himself demoted and exiled. Now, with only his wife at his side, Leo must fight to uncover shocking truths about a killer-and a country where ""crime"" doesn't exist.","Crime & Thriller , Thriller","Smith, Tom Rob",Time Warner Trade Publishing,2011,468,999 Денари
Robert Ludlum's the Cassandra Compact : A Covert-One Novel,"Description What they're going to do, I never would have believed it...These were among the final words spoken by Yuri Danko, an officer in the medical division of Russia's security service, before his body was ripped apart by a spray of assassins' bullets. Danko's confidential appointment in Venice with Covert-One operative Jon Smith might have ended in death--but his secret didn't die with him... Now, in possession of Danko's classified papers, Smith and CIA undercover agent Randi Russell have unearthed a terrifying global conspiracy. A Serb terrorist, backed by Russians, is on a mission to spirit hazardous vials of deadly bacteria to a U.S. government agent--a shadowy figure whose motives for acquiring the bioweapon are made all the more unfathomable when both men are found murdered--and the strain is stolen. Time is running out for Smith and Russell to track it down, find the madman who possesses it, and stop him before he holds a defenseless world hostage with the power to render the human race extinct.","Crime & Thriller , Thriller","Ludlum, Robert",St Martin's Press,2011,454,599 Денари
Curse of the Spellmans,,"Crime & Thriller , Thriller",Lisa,Pocket Books,2010,,499 Денари
Kindred in Death,"When the newly promoted captain of the NYPSD and his wife return a day early from their vacation, they are looking forward to spending time with their bright and vivacious sixteen-year-old daughter, who stayed behind. Not even their worst nightmares could prepare them for the crime scene that awaits them instead. Deena has been brutally murdered in her bedroom, and her body shows signs of trauma that horrify even the toughest of cops, including our own Lieutenant Eve Dallas, who is specifically requested by the captain to investigate. When the evidence starts to pile up, Dallas and her team think they are about to arrest their perpetrator; little do they know that someone has gone to great lengths to tease and taunt them by using a variety of identities. Overconfidence can lead to careless mistakes. But for Dallas, one mistake might be all she needs to serve justice.","Crime & Thriller , Thriller","Robb, J. D.",Piatkus Books,2010,455,599 Денари
The Girl Who Played with Fire,"#1 NATIONAL BESTSELLER ? Lisbeth Salander returns in the next installment of the Girl with the Dragon Tattoo series: Part blistering espionage thriller, part riveting police procedural, and part piercing expos? on social injustice, this is a ?gripping, stay-up-all-night read? (Entertainment Weekly). ? Also known as the Millennium series The next installment of the Millennium series: Mikael Blomkvist, crusading publisher of the magazine Millennium, has decided to run a story that will expose an extensive sex trafficking operation. On the eve of its publication, the two reporters responsible for the article are murdered, and the fingerprints found on the murder weapon belong to his friend, the troubled genius hacker Lisbeth Salander. Blomkvist, convinced of Salander's innocence, plunges into an investigation. Meanwhile, Salander herself is drawn into a murderous game of cat and mouse, which forces her to face her dark past. Look for the latest book in the Girl with the Dragon Tattoo series, The Girl in the Eagle's Talons, coming soon!","Crime & Thriller , Thriller","Larsson, Stieg",Knopf Doubleday Publishing Group,2010,656,1.099 Денари
Fantasy in Death,"In the latest novel from #1 New York Times-bestselling author J.D. Robb, it is game over for the criminals pursued by NYPSD Lieutenant Eve Dallas. Bart Minnock, founder of the computer- gaming giant U-Play, enters his private playroom, and eagerly can't wait to lose himself in an imaginary world, to play the role of a sword-wielding warrior king, in his company's latest top-secret project, Fantastical. The next morning, he is found in the same locked room, in a pool of blood, his head separated from his body. It is the most puzzling case Eve Dallas has ever faced, and it is not a game. . . . NYPSD Lieutenant Eve Dallas is having as much trouble figuring out how Bart Minnock was murdered as who did the murdering. The victim's girlfriend seems sincerely grief-stricken, and his quirky-but-brilliant partners at U-Play appear equally shocked. No one seemed to have a problem with the enthusiastic, high-spirited millionaire. Of course, success can attract jealousy, and gaming, like any business, has its fierce rivalries and dirty tricks-as Eve's husband, Roarke, one of U- Play's competitors, knows well. But Minnock was not naive, and quite capable of fighting back in the real world as well as the virtual one. Eve and her team are about to enter the next level of police work, in a world where fantasy is the ultimate seduction-and the price of defeat is death. . . . Watch a Video","Crime & Thriller , Thriller","Robb, J. D.",G.P. Putnam's Sons,2010,356,300 Денари
Murder Inside the Beltway,"Rosalie Curzon, a Washington, D.C., call girl, is found bludgeoned to death in her Adams-Morgan apartment. At the murder scene a video camera is discovered nestled high on a bookshelf. Had the victim taped some of her clients during their sexual liaisons? As the investigation proceeds, so does business inside the Beltway. President Burton Pyle is heatedly running for reelection against consummate politician Robert Colgate, who is expected to win. Colgate, though, is not without cracks in his slick exterior: Rumors swirl about his failing marriage and various dalliances. But no one is prepared for the explosive development that erupts when the daughter of Colgate's closest friend is kidnapped and Detective Mary Hall and rookie cop Matthew Jackson uncover a shocking connection between the abduction, the Curzon case?and a killer no one will see coming.","Crime & Thriller , Thriller","Truman, Margaret",Random House Publishing Group,2010,352,499 Денари
The Charming Quirks of Others,"Description ISABEL DALHOUSIE - Book 7 Nothing captures the charm of Edinburgh like the bestselling Isabel Dalhousie series of novels featuring the insatiably curious philosopher and woman detective. Whether investigating a case or a problem of philosophy, the indefatigable Isabel Dalhousie, one of fiction's most richly developed amateur detectives, is always ready to pursue the answers to all of life's questions, large and small. Isabel has been asked for her help in a rather tricky situation: A successor is being sought for the headmaster at a local boys' school. The board has three final candidates but has received an anonymous letter alleging that one of them has a very serious skeleton in the closet. Could Isabel discreetly look into it? And so she does. What she discovers about all the candidates is surprising, but what she discovers about herself and about Jamie, the father of her young son, turns out to be equally revealing. Isabel's investigation will have her exploring issues of ambition, as well as of charity, forgiveness, and humility, as she moves nearer and nearer to some of the most hidden precincts of the heart. Here is Isabel Dalhousie at her beguiling best: intelligent, insightful, and with a unique understanding of the quirks of human nature.","Crime & Thriller , Thriller","Smith, Alexander McCall",Random House USA Inc,2010,272,1.399 Денари
Fade Away,"WINNER OF THE EDGAR AWARD - ""What sets Harlan Coben above the crowd are wit and . . . an entertaining plot.""--Los Angeles Times Book Review In novels that crackle with wit and suspense, Harlan Coben has created one of the most fascinating heroes in suspense fiction: the wisecracking, tenderhearted sports agent Myron Bolitar. In this gripping third novel in the acclaimed series, Myron must confront a past that is dead and buried--and more dangerous than ever before. The home is top-notch New Jersey suburban. The living room is Martha Stewart. The basement is Legos--and blood. The signs of a violent struggle. For Myron Bolitar, the disappearance of a man he once competed against is bringing back memories--of the sport he and Greg Downing had both played and the woman they both loved. Now, among the stars, the wannabes, the gamblers, and the groupies, Myron is embarking upon the strange ride of a sports hero gone wrong that just may lead to certain death. Namely, his own. Praise for Fade Away ""Brilliant . . . perfect for fans of Sue Grafton, Robert B. Parker, and everyone else.""--Nancy Pickard, author of The Scent of Rain and Lightning ""Fast action, snappy dialogue . . . [an] enjoyable read.""--The Toronto Star ""Great fun.""--Houston Chronicle","Crime & Thriller , Thriller","Coben, Harlan",Random House USA Inc,2010,355,599 Денари
The Pelican Brief,"Description In suburban Georgetown, a killer's Reeboks whisper on the floor of a posh home. In a seedy D.C. porno house, a patron is swiftly garroted to death. The next day America learns that two of its Supreme Court justices have been assassinated. And in New Orleans, a young law student prepares a legal brief. To Darby Shaw it was no more than a legal shot in the dark, a brilliant guess. To the Washington establishment it's political dynamite. Suddenly Darby is witness to a murder-a murder intended for her. Going underground, she finds that there is only one person-an ambitious reporter after a newsbreak hotter than Watergate-she can trust to help her piece together the deadly puzzle. Somewhere between the bayous of Louisiana and the White House's inner sanctums, a violent cover-up is being engineered. For someone has read Darby's brief-someone who will stop at nothing to destroy the evidence of an unthinkable crime.","Crime & Thriller , Thriller","Grisham, John",Random House USA Inc,2010,482,599 Денари
Presumed Innocent,"Rusty Sabich is a prosecuting lawyer in Chicago who enters a nightmare world when Carolyn, a beautiful attorney with whom he has been having an affair, is found raped and strangled. He stands accused of the crime. This 'insider' book by a Chicago lawyer was one of the great novels of the 1980s, selling more than nine million copies, and was made into a famous film starring Harrison Ford. It's a supremely suspenseful and compelling courtroom drama about ambition, weakness, hypocrisy and American justice.","Crime & Thriller , Thriller","Turow, Scott",Penguin,2010,422,1.199 Денари
Dark Places,"Description NEW YORK TIMES BESTSELLER - From the #1 New York Times bestselling author of Gone Girl, and the basis for the major motion picture starring Charlize Theron Libby Day was seven when her mother and two sisters were murdered in ""The Satan Sacrifice of Kinnakee, Kansas."" She survived--and famously testified that her fifteen-year-old brother, Ben, was the killer. Twenty-five years later, the Kill Club--a secret society obsessed with notorious crimes--locates Libby and pumps her for details. They hope to discover proof that may free Ben. Libby hopes to turn a profit off her tragic history: She'll reconnect with the players from that night and report her findings to the club--for a fee. As Libby's search takes her from shabby Missouri strip clubs to abandoned Oklahoma tourist towns, the unimaginable truth emerges, and Libby finds herself right back where she started--on the run from a killer. Praise for Dark Places ""[A] nerve-fraying thriller.""--The New York Times ""Flynn's well-paced story deftly shows the fallibility of memory and the lies a child tells herself to get through a trauma.""--The New Yorker ""Gillian Flynn coolly demolished the notion that little girls are made of sugar and spice in Sharp Objects, her sensuous and chilling first thriller. In Dark Places, her equally sensuous and chilling follow-up, Flynn . . . has conjured up a whole new crew of feral and troubled young females. . . . [A] propulsive and twisty mystery.""--Entertainment Weekly ""Flynn follows her deliciously creepy Sharp Objects with another dark tale . . . The story, alternating between the 1985 murders and the present, has a tense momentum that works beautifully. And when the truth emerges, it's so macabre not even twisted little Libby Day could see it coming.""--People (4 stars) ""Crackles with peevish energy and corrosive wit."" --Dallas Morning News ""A riveting tale of true horror by a writer who has all the gifts to pull it off.""--Chicago Tribune ""It's Flynn's gift that she can make a caustic, self-loathing, unpleasant protagonist someone you come to root for.""--New York Magazine ""[A] gripping thriller.""--Cosmopolitan ""Gillian Flynn is the real deal, a sharp, acerbic, and compelling storyteller with a knack for the macabre.""--Stephen King","Crime & Thriller , Thriller","Flynn, Gillian",Random House USA Inc,2010,349,999 Денари
Rules of Vengeance,"An ambush on a convoy of limousines turns a romantic rendezvous into a terrorist bloodbath and Doctors Without Borders physician Jonathan Ransom, appr","Crime & Thriller , Thriller","Reich, Christopher",Anchor Books,2010,580,499 Денари
Dead Shot,"Assassin Juba was originally trained by the British, but now works with a twisted mastermind determined to wrest leadership of the Islamic terrorist world from Al Qaeda. When Juba tests a new weapon by killing hundreds of people at a Britsh royal wedding in London, Kyle Swanson is assigned to hunt down his old special ops rival.","Crime & Thriller , Thriller","Coughlin, Jack",Pan Books,2010,359,399 Денари
61 Hours,"A tour bus crashes in a savage snowstorm and lands Jack Reacher in the middle of a deadly confrontation. In nearby Bolton, South Dakota, one brave wom","Crime & Thriller , Thriller","Child, Lee",Bantam Press,2010,395,499 Денари
Six Graves to Munich,"Description An explosive, non-stop thriller following one man's trail of violence across post-war Europe from the bestselling author of The Godfather. Michael Rogan was an intelligence officer behind enemy lines in World War II. But he made the mistake of falling in love, which gave him something to lose--or to be taken from him. Captured by the Nazis, Michael was treated as an experiment. A piece of meat. A subject upon which his captors committed atrocity upon atrocity. But not before they did the same to his wife--and unborn son. He's lived with the horror of that experience for ten years. Now, Michael Rogan has returned to Europe to find the men who tortured him. And he's going to make sure that they never have to live with the horror as he did...They will die with it. First published under a pseudonym in 1967, Six Graves to Munich was Mario Puzo's literary predecessor to his legendary novel, The Godfather. In this unsung classic, Puzo's trademark unflinchingly stark writing style, vivid descriptive skill, and relentless pace are exemplified in the genre of the spy novel. In his hands, the classic tale of revenge becomes a haunting study of humanity at its most visceral, offering a glimpse into a damaged soul whose only remaining purpose for living is to kill.","Crime & Thriller , Thriller","Puzo, Mario",Berkley Books,2010,216,799 Денари
And Thereby Hangs A Tale,"From Jeffrey Archer, the bestselling author of the Clifton Chronicles and Kane and Abel, comes his captivating sixth collection of short stories, And Hereby Hangs a Tale, full of magnificent characters and shocking plot twists. In 'High Heels' discover what happens in a loss adjuster's memorable first case where his wife has to explain why a pair of designer shows couldn't have gone up in flames. While on the streets of Delhi in 'Caste-Off' a man and woman fall in love while waiting for a traffic light to turn green. And in 'A Good Eye' a priceless Renaissance oil painting remains in the same family for generations until its current owner is face with a difficult choice . . . Jeffrey demonstrates his natural aptitude for short stories which are stylish, witty and entertaining. His mastery of characterization and suspense, combined with a gift for the unexpected, jaw-dropping plot twist, show him at the height of his powers and demonstrate why he is one of world's bestselling authors.","Crime & Thriller , Thriller","Archer, Jeffrey",Pan Macmillan,2010,288,699 Денари
The Eleventh Commandment,"A gripping spy thriller set at an addictive pace, from bestselling author, Jeffrey Archer. Connor Fitzgerald is the professional's professional. Holder of the Medal of Honour. Devoted family man. The CIA's most deadly weapon. But for twenty-eight years, he has been leading a double life. And only days from his retirement, he comes across an enemy even he cannot handle. The enemy is his own boss. And she has only one purpose: to destroy him. Meanwhile, the United States is faced with an equally formidable foe: a new Russian President, determined to force a military confrontation between the two superpowers. Ranging from the Oval Office in the White House to a Russian Mafia boss's luxurious hideaway outside St Petersburg, The Eleventh Commandment sets new standards in contemporary thriller writing. Jeffrey Archer scoops his readers up in the first paragraph, and doesn't let them go until the last. The pace, the ingenuity, the twists, intertwined with a moving love story, show Britain's bestselling writer at the peak of his page-turning powers.","Crime & Thriller , Thriller","Archer, Jeffrey",Pan Macmillan,2010,352,699 Денари
The Spire,"The new blockbuster from the thinking man's thriller writer A young college president struggles to save his once prestigious alma mater, Caldwell College, from a financial scandal which may be linked to the murder of a student, some seventeen years previously. The Caldwell campus is dominated by a large bell tower known as The Spire. The Spire ornaments the school yearbook, stationary, all publications. Steeped in lore, it tolls every hour of the school day; or to mark notable events such as athletic triumphs. But in 1993, the body of Angela Hall, a black student, was found at the foot of the Spire. Raped and murdered, she seemed oddly like a sacrifice to the newly-ominous college landmark... Gripping and razor-sharp, The Spire is both a hugely satisfying thriller and a poignant love story. Richard North Patterson has outdone himself-this is his most compelling novel in years.","Crime & Thriller , Thriller","Patterson, Richard North",Pan Macmillan,2010,400,499 Денари
The Eleventh Commandment,"Connor Fitzgerald is the professional's professional. Holder of the Medal of Honor. Devoted family man. Servant of his country. The CIA's most deadly weapon. But for the past twenty-eight years, Fitzgerald has been leading a double life. And only days from his retirement from the Agency, he comes across an enemy even he cannot handle. The enemy is his own boss, the Director of the CIA. And she has only one purpose: to destroy him. Meanwhile, the United States is faced with an equally formidable foe: a new Russian President, determined to force a military confrontation between the two superpowers. Ranging from the Oval Office in the White House to a Russian Mafia boss's luxurious hideaway outside St Petersburg, The Eleventh Commandment sets new standards in contemporary thriller writing. Jeffrey Archer scoops his readers up in the first paragraph, and doesn't let them go until the last. The pace, the ingenuity, the twists, intertwined with a moving love story, show Britain's bestselling writer at the peak of his page-turning powers.","Crime & Thriller , Thriller","Archer, Jeffrey",Pan Macmillan,2010,341,499 Денари
The Fourth Estate,"The world's most powerful newspaper barons - which of them will triumph? At first glance, Richard Armstrong and Keith Townsend seemed to have little in common. One was the son of an illiterate peasant, who emerged from the most backward corner of a Europe ravaged by a bitter war. The other was raised in a mansion on the far side of the world while the war was just another piece of news. One was a hustler, a thief, ready to change even his identity, if it would gain him a momentary advantage. The other was the scion of a well-known family, groomed for a public role, a rebel who didn't care if anyone approved of what he got up to. One craved wealth, recognition, status. The other quickly discovered that real power comes from anonymity. But they did have one thing in common. Both of them were gamblers. Both were prepared to risk everything in their battle to control the biggest newspaper empire in the world.","Crime & Thriller , Thriller","Archer, Jeffrey",Pan Macmillan,2010,598,499 Денари
Eight Days to Live,Number-one New York Times bestselling author Iris Johansen delivers a thriller that will chill you to the core: Eve Duncan's adopted daughter Jane has,"Crime & Thriller , Thriller","Johansen, Iris",St. Martin's Publishing Group,2010,448,499 Денари
Rupture,"'Find what you were looking for, Inspector?' - every day the same question. A different uniform but the same question - they thought Lucia enjoyed being here. They thought that was why she kept coming back. But they were asking the wrong thing. She had found what she was looking for - she had found what she had been sent to discover - but she had found out more besides. The question was what to do about it. The question was whether to do anything at all. In the depths of a sweltering summer, teacher Samuel Szajkowski walks into his school assembly and opens fire. He kills three pupils and a colleague before turning the gun on himself. Lucia May, the young policewoman who is assigned the case, is expected to wrap up things quickly and without fuss. The incident is a tragedy that could not have been predicted and Szajkowski, it seems clear, was a psychopath beyond help. Soon, however, Lucia becomes preoccupied with the question no one else seems to want to ask: what drove a mild-mannered, diffident school teacher to commit such a despicable crime?Piecing together the testimonies of the teachers and children at the school, Lucia discovers an uglier, more complex picture of the months leading up to the shooting. She realises too that she has more in common with Szajkowski than she could have imagined. As the pressure to bury the case builds, she becomes determined to tell the truth about what happened, whatever the consequences.","Crime & Thriller , Thriller","Lelic, Simon",Pan Macmillan Limited,2010,316,499 Денари
Innocent,,"Crime & Thriller , Thriller",Turow,Pan Macmillan Limited,2010,488,499 Денари
Shift,"Set in the crucible of the 1960s, 'Shift' is the story of Chandler Forrestal, a man whose life is changed forever when he is dragged into a cia mind-control experiment. After being given a massive dose of LSD, Chandler develops a frightening array of mental powers. Chandler?s heightened perception uncover a plot to assassinate president Kennedy. Propelled to prevent the conspiracy, Chandler is pursued by Rogue CIA Agents, Cuban killers, mafia madmen, and ex-nazi scientists. All the while haunted by a beautiful womanwith her own scandalous past to purge, her own score to setlle. Will Chandler be able to harness his shift and rewrite history?","Crime & Thriller , Thriller","Kring, Tim",Random House Incorporated,2010,356,1.048 Денари
Dark Summer,Devon Brady is a devoted veterinarian working in a makeshift hospital on a remote search and rescue mission. When a man arrives with his wounded black,"Crime & Thriller , Thriller","Johansen, Iris",St. Martin's Publishing Group,2009,384,499 Денари
The Taking of Pelham 1 2 3,"Grand Central station, New York. 1:23pm. What starts as a normal day on the New York City subway becomes a race against time when a commuter train is hijacked. It is packed with passengers and the ransom is one million dollars. The NYPD frantically pursue the train on the city streets, but the question remains: the subway is a closed system - surely there is no way out...But the four hijackers, led by a mercenary named Ryder, have thought about this. And once they receive their ransom money, they plan to send the train off at top speed toward the terminal station where it will crash, killing all the passengers.","Crime & Thriller , Thriller","Godey, John",Berkley Boulevard Books,2009,373,599 Денари
"Eye Of The Crow : The Boy Sherlock Holmes, His First Case","Sherlock Holmes, just thirteen, is a misfit. His highborn mother is the daughter of an aristocratic family, his father a poor Jew. Their marriage flouts tradition and makes them social pariahs in the London of the 1860s; and their son, Sherlock, bears the burden of their rebellion. Friendless, bullied at school, he belongs nowhere and has only his wits to help him make his way. But what wits they are! His keen powers of observation are already apparent, though he is still a boy. He loves to amuse himself by constructing histories from the smallest detail for everyone he meets. Partly for fun, he focuses his attention on a sensational murder to see if he can solve it. But his game turns deadly serious when he finds himself the accused -- and in London, they hang boys of thirteen. Shane Peacock has created a boy who bears all the seeds of the character who has mesmerized millions: the relentless eye, the sense of justice, and the complex ego. The boy Sherlock Holmes is a fascinating character who is sure to become a fast favorite with young readers everywhere.","Crime & Thriller , Thriller","Peacock, Shane",Tundra Books,2009,254,699 Денари
Hit and Run,"When Keller gets the call to make a hit on a man in Des Moines, he's tempted to pass. So far he's been lucky in his chosen profession, and he's pretty much got enough stashed away to retire. Just one more, he thinks. But he quickly finds that this job migh","Crime & Thriller , Thriller","Block, Lawrence",Harper Torch,2009,304,499 Денари
Digital Fortress,"When the National Security Agency's invincible code-breaking machine encounters a mysterious code it cannot break, the agency calls in its head cryptographer, Susan Fletcher, a brilliant, beautiful mathematician. What she uncovers sends shock waves through the corridors of power. The NSA is being held hostage - not by guns or bombs, but by a code so complex that if released would cripple U.S. intelligence. Caught in an accelerating tempest of secrecy and lies, Fletcher battles to save the agency she believes in. Betrayed on all sides, she finds herself fighting not only for her country but for her life, and in the end, for the life of the man she loves...","Crime & Thriller , Thriller","Brown, Dan",Corgi Books,2009,510,499 Денари
The Fourth Order : A Novel,"Description National security, terrorism, and human rights-these explosive issues lie at the heart of Stephen Frey's riveting new thriller, a high-octane novel of suspense, revenge, and intrigue. Dynamic chief financial officer Michael Rose is looking to add an exciting and profitable new dimension to energy conglomerate Trafalgar Industries via the major acquisition of CIS, a global information technology company. But it's far from a done deal, thanks to fierce resistance from CIS, and from certain members of Trafalgar's own board, to Rose's takeover proposal. But Rose isn't about to sacrifice his best shot at the score that could land him in the CEO's chair. While swiftly scaling the corporate ladder, Rose has played the big business power game expertly enough to know he has the moves to outmaneuver the opposition. But what Rose doesn't know is the truth about his latest adversaries at CIS-that they are linked to an organization hell-bent on a twisted mission and are lethal to anyone who stands in their way. The Order, an ultra-secret shadow government agency, was founded by high-level administration officials in reaction to the assassination of President Lincoln. Nearly 150 years later, the group was galvanized anew by the worst act of terror ever perpetrated on American soil-and pushed to dangerous extremes by the specter of fear . . . and the taste of power. The Order had always been sanctioned to manage national security at all costs, by any and all means, without consequences. But behind the sleek veneer of CIS Technologies, the fourth and newest incarnation of The Order not only maintains the ultimate nationwide surveillance and intelligence-gathering system, but conducts officially licensed covert operations rife with torture and murder-all in the name of freedom. The mission cannot and will not be jeopardized, even if innocent lives must be sacrificed. Unfortunately Michael Rose doesn't yet realize that his hardball tactics have made him the Order's number one hard target, and his penchant for playing to win has brought him unwittingly into a deadly duel with an enemy more powerful than he can imagine. In a world where the rule is kill or be killed, Rose's rep for sealing deals might just seal his fate.","Crime & Thriller , Thriller","Frey, Stephen",Random House USA Inc,2009,384,499 Денари
Made to Be Broken,"Description The author of the acclaimed Women of the Otherworld series returns with her latest novel featuring an exciting heroine with a lethal hidden talent. This time she's hot on the trail of a young woman no one else cares about--and a killer who's bound to strike again. Nadia Stafford isn't your typical nature lodge owner. An ex-cop with a legal code all her own, she's known only as ""Dee"" to her current employer: a New York crime family that pays her handsomely to bump off traitors. But when Nadia discovers that a troubled teenage employee and her baby have vanished in the Canadian woods, the memory of a past loss comes back with a vengeance and her old instincts go into overdrive. With her enigmatic mentor, Jack, covering her back, Nadia unearths sinister clues that point to an increasingly darker and deadlier mystery. Now, with her obsession over the case deepening, the only way Nadia can right the wrongs of the present is to face her own painful ghosts--and either bury them for good, or die trying. Because in her book everyone deserves a chance. And everyone deserves justice.","Crime & Thriller , Thriller","Armstrong, Kelley",Random House USA Inc,2009,416,499 Денари
Mercedes Coffin,"Billionaire genius Genoa Greeves never got over the shocking death of her favorite teacher, Bennett ""Dr. Ben"" Alston Little, murdered execution-style and stuffed into the trunk of his Mercedes-Benz. No arrests were ever made, no killer charged for the brutal crime. Fifteen years later, the high-tech CEO reads about another execution-style murder; this time the victim is a Hollywood music producer named Primo Ekerling. There is no obvious connection, but the case is eerily similar to Little's and Genoa feels the time is right to close Dr. Ben's case once and for all--offering the L.A.P.D. a substantial financial ""incentive"" if justice is finally served for Little. Lieutenant Peter Decker resents having to commit valuable manpower to a fifteen-year-old open case simply because a rich woman says ""Jump!"" Still, the recent murder of Primo Ekerling does bear a disturbing resemblance to Little's case, even though two thug suspects are currently behind bars for the Ekerling murder. Decker can't help but wonder about a connection. His first phone calls are to the two primary investigators in the Little case, retired detectives Calvin Vitton and Arnie Lamar. Lamar is cooperative, but Vitton is not only reluctant to talk, he winds up dead of a suspicious suicide twelve hours later. Plunging into this long-buried murder, Decker discovers that even though the two slayings are separated by a decade and a half, there is still plenty of greed, lust, and evil to connect the dots. Decker's team of top investigators not only includes his favorite homicide detectives, Scott Oliver and Marge Dunn, but also his newly minted Hollywood detective daughter, Cindy Kutiel, whose help proves to beinvaluable. His wife, Rina Lazarus, continues to be his backbone of support, offering a cool, rational outlook despite her growing concern for her husband's welfare and safety. Rina's worries and fears begin to build at a fevered pitch as past and present collide with a vengeance, catapulting an unsuspecting Peter Decker closer and closer to the edge of an infinite dark abyss. A relentlessly gripping tale spun by a master, Faye Kellerman's ""The Mercedes Coffin"" races through a dangerous urban world of fleeting fame and false dreams, making heart-pumping hairpin turns at each step of a terrifying journey, where truth and justice are fine lines between life and death.","Crime & Thriller , Thriller","Kellerman, Faye",Harper Collins,2009,416,499 Денари
Acts of Mercy,"From New York Times bestselling author Mariah Stewart comes a novel of sexy romantic suspense for fans of Nora Roberts, Catherine Coulter, and Karen Robards. Former FBI agent Sam Delvecchio brings the keen skills of a profiler to his new position as a Mercy Street Foundation operative?and not a moment too soon. His first assignment, the cold-case murder of a local soup kitchen volunteer, has all the telltale signs of a serial killer's work. That grim suspicion is confirmed when FBI agent Fiona Summers shares the details of two other killings with eerie similarities to Sam's case: The bodies in all three cases have been carefully posed. And when a fourth victim is discovered, the two investigators realize they're pursuing the same twisted quarry. Local parish priest Kevin Burch, Mercy Street founder Robert Magellan's cousin, recognizes the posings for what they are: The killer is staging the church' s seven Acts of Mercy (?Feed the hungry, clothe the naked . . .?) with the bodies of his victims. But as Sam and Fiona race to prevent the final three murders, taunting messages from their target lead to the most chilling realization of all.","Crime & Thriller , Thriller","Stewart, Mariah",Random House Publishing Group,2009,368,300 Денари
Found Wanting,"Richard Eusden is on his way to work in London one unremarkable winter morning when he is intercepted by his ex-wife, Gemma. She has sad news of his old friend, Marty Hewitson. Marty is dying, but needs a favour done for him at once. Eusden reluctantly agrees and sets off on what should be a simple errand. But soon it turns into a race for life, his and Marty's, across Belgium, Germany and Denmark and on into the Nordic heart of a mystery that somehow connects Marty's long dead grandfather, Clem Hewitson, an Isle of Wight police officer, with the tragic fate of the Russian Royal Family. Eusden discovers to his dismay that he can trust no-one, not even an old and dying friend, in a battle for survival with those who are determined to steal the secret they believe he and Marty hold -- and will kill for it if they have to.","Crime & Thriller , Thriller","Goddard, Robert",Transworld Publishers Limited,2009,448,499 Денари
Wicked Prey,"Danger stalks Lucas Davenport at work and all too close to home, in the superlative new thriller by the #1 New York Times bestselling author. For twenty years, John Sandford s novels have been beloved for their ingenious plots, vivid characters, crisp dialogue and endless surprises (The Washington Post), and nowhere are those more in evidence than in the sudden twists and shocks of Wicked Prey. The Republicans are coming to St. Paul for their convention. Throwing a big party is supposed to be fun, but crashing the party are a few hard cases the police would rather stayed away. Chief among them is a crew of professional stickup men who ve spotted several lucrative opportunities, ranging from political moneymen with briefcases full of cash to that armored-car warehouse with the weakness in its security system. All that s headache enough for Lucas Davenport but what s about to hit him is even worse. A while back, a stray bullet put a pimp and petty thief named Randy Whitcomb in a wheelchair, and, ever since, the man has been nursing his grudge into a full head of psychotic steam. He blames Davenport for the bullet, but it s no fun just shooting him. That wouldn t be painful enough. Not when Davenport has a pretty fourteen-year-old adopted daughter that Whitcomb can target instead. . . . And then there s the young man with the .50 caliber sniper rifle and the right- wing-crazy background, roaming through a city filled with the most powerful politicians on earth. . . . Rich with his brilliant trademark suspense and some of the best characters in suspense fiction, Wicked Prey is further proof that Sandford is one of the most consistently entertaining crime writers working today (Booklist).","Crime & Thriller , Thriller","Sandford, John",G.P. Putnam's Sons,2009,402,1.999 Денари
The Gun Seller,"Description When Thomas Lang, a hired gunman with a soft heart, is contracted to assassinate an American industrialist, he opts instead to warn the intended victim - a good deed that doesn't go unpunished. Within hours Lang is butting heads with a Buddha statue, matching wits with evil billionaires, and putting his life (among other things) in the hands of a bevy of femmes fatales, whilst trying to save a beautiful lady ... and prevent an international bloodbath to boot. A wonderfully funny novel from one of Britain's most famous comedians and star of award-winning US TV medical drama series, House.","Crime & Thriller , Thriller","Laurie, Hugh",Cornerstone,2009,352,699 Денари
